ymd,h,m,v
20171104,16,10,53.76
20171104,16,15,50.88
20171104,16,20,49.92
20171104,16,25,51.84
20171104,16,30,51.84
20171104,16,35,51.84
20171104,16,40,51.84
20171104,16,45,51.84
20171104,16,50,48.96
20171104,16,55,47.04
20171104,17,0,46.08
20171104,17,5,45.12
20171104,17,10,46.08
20171104,17,15,43.2
20171104,17,20,46.08
20171104,17,25,45.12
20171104,17,30,46.08
20171104,17,35,46.08
20171104,17,40,44.16
20171104,17,45,45.12
20171104,17,50,46.08
20171104,17,55,46.08
20171104,18,0,46.08
20171104,18,5,43.2
20171104,18,10,44.16
20171104,18,15,45.12
20171104,18,20,45.12
20171104,18,25,44.16
20171104,18,30,42.24
20171104,18,35,43.2
20171104,18,40,43.2
20171104,18,45,43.2
20171104,18,50,44.16
20171104,18,55,43.2
20171104,19,0,45.12
20171104,19,5,47.04
20171104,19,10,43.2
20171104,19,15,44.16
20171104,19,20,44.16
20171104,19,25,43.2
20171104,19,30,43.2
20171104,19,35,44.16
20171104,19,40,43.2
20171104,19,45,42.24
20171104,19,50,43.2
20171104,19,55,44.16
20171104,20,0,45.12
20171104,20,5,42.24
20171104,20,10,42.24
20171104,20,15,41.28
20171104,20,20,41.28
20171104,20,25,42.24
20171104,20,30,41.28
20171104,20,35,41.28
20171104,20,40,42.24
20171104,20,45,40.32
20171104,20,50,41.28
20171104,20,55,41.28
20171104,21,0,41.28
20171104,21,5,40.32
20171104,21,10,42.24
20171104,21,15,40.32
20171104,21,20,42.24
20171104,21,25,41.28
20171104,21,30,41.28
20171104,21,35,41.28
20171104,21,40,41.28
20171104,21,45,41.28
20171104,21,50,41.28
20171104,21,55,41.28
20171104,22,0,41.28
20171104,22,5,41.28
20171104,22,10,41.28
20171104,22,15,41.28
20171104,22,20,41.28
20171104,22,25,41.28
20171104,22,30,41.28
20171104,22,35,41.28
20171104,22,40,41.28
20171104,22,45,41.28
20171104,22,50,40.32
20171104,22,55,41.28
20171104,23,0,40.32
20171104,23,5,40.32
20171104,23,10,41.28
20171104,23,15,40.32
20171104,23,20,41.28
20171104,23,25,41.28
20171104,23,30,41.28
20171104,23,35,41.28
20171104,23,40,40.32
20171104,23,45,41.28
20171104,23,50,40.32
20171104,23,55,41.28
20171105,0,0,40.32
20171105,0,5,41.28
20171105,0,10,41.28
20171105,0,15,40.32
20171105,0,20,40.32
20171105,0,25,40.32
20171105,0,30,40.32
20171105,0,35,41.28
20171105,0,40,41.28
20171105,0,45,41.28
20171105,0,50,40.32
20171105,0,55,41.28
20171105,1,0,41.28
20171105,1,5,40.32
20171105,1,10,41.28
20171105,1,15,41.28
20171105,1,20,41.28
